"plant_ID","binomial_acc_name","author_acc_name","is_hybrid","AnimalFood","EnvironmentalUses","Fuels","GeneSources","HumanFood","InvertebrateFood","Materials","Medicines","Poisons","SocialUses","Totals"
63,"Abutilon grantii","A.Meeuse",FALSE,0,0,0,0,0,0,0,1,0,0,1
64,"Abutilon greveanum","(Baill.) Hochr.",FALSE,0,0,0,0,0,0,1,1,0,0,2
65,"Abutilon guineense","(Schumach.) Baker f. & Exell",FALSE,0,0,0,0,0,0,0,1,0,0,1
66,"Abutilon herzogianum","R.E.Fr.",FALSE,0,0,0,0,0,0,0,1,0,0,1
67,"Abutilon hirtum","(Lam.) Sweet",FALSE,0,1,0,1,1,0,1,1,0,0,5
68,"Abutilon incanum","(Link) Sweet",FALSE,0,0,0,0,0,0,0,1,0,0,1
69,"Abutilon indicum","(L.) Sweet",FALSE,1,0,0,0,1,0,1,1,1,0,5
70,"Abutilon longicuspe","Hochst. ex A.Rich.",FALSE,0,0,0,1,1,0,1,0,0,0,3
71,"Abutilon mauritianum","(Jacq.) Medik.",FALSE,1,0,0,1,1,0,1,1,0,0,5
72,"Abutilon pannosum","(G.Forst.) Schltdl.",FALSE,1,0,0,1,1,0,1,1,0,1,6
73,"Abutilon permolle","(Willd.) Sweet",FALSE,0,0,0,0,0,0,0,1,0,0,1
74,"Abutilon persicum","(Burm.f.) Merr.",FALSE,0,0,0,0,0,0,0,1,0,0,1
75,"Abutilon ramosum","(Cav.) Guill. & Perr.",FALSE,0,0,0,0,1,0,1,1,0,0,3
76,"Abutilon sonneratianum","(Cav.) Sweet",FALSE,0,0,0,0,0,0,0,1,0,0,1
77,"Abutilon terminale","(Cav.) A.St.-Hil.",FALSE,0,0,0,0,0,0,0,1,0,0,1
78,"Abutilon theophrasti","Medik.",FALSE,1,0,1,1,1,0,1,1,0,0,6
79,"Abutilon trisulcatum","(Jacq.) Urb.",FALSE,0,0,0,0,0,0,1,0,0,0,1
80,"Acacia acuminata","Benth.",FALSE,0,1,1,0,1,0,1,1,0,0,5
81,"Acacia adsurgens","Maiden & Blakely",FALSE,0,0,0,0,0,0,0,1,0,0,1
82,"Acacia ampliceps","Maslin",FALSE,0,1,0,0,0,0,0,0,0,0,1
83,"Acacia anceps","DC.",FALSE,0,0,0,0,0,0,1,0,0,0,1
84,"Acacia ancistrocarpa","Maiden & Blakely",FALSE,0,0,0,0,0,0,0,1,0,0,1
85,"Acacia aneura","F.Muell. ex Benth.",FALSE,1,1,0,0,0,0,1,1,0,0,4
86,"Acacia argyrodendron","Domin",FALSE,1,1,0,0,0,0,0,0,0,0,2
87,"Acacia aulacocarpa","A.Cunn. ex Benth.",FALSE,1,1,1,0,0,1,1,1,0,0,6
88,"Acacia auriculiformis","A.Cunn. ex Benth.",FALSE,1,1,1,1,1,0,1,1,0,1,8
89,"Acacia baileyana","F.Muell.",FALSE,1,1,1,0,0,1,0,1,0,0,5
90,"Acacia beauverdiana","Ewart & Sharman",FALSE,0,0,0,0,0,0,0,1,0,0,1
91,"Acacia binervata","DC.",FALSE,0,0,0,0,0,0,1,0,1,0,2
92,"Acacia bivenosa","DC.",FALSE,0,1,0,0,1,0,1,0,0,0,3
93,"Acacia brachystachya","Benth.",FALSE,1,0,1,0,1,1,1,0,0,0,5
94,"Acacia burrowii","Maiden",FALSE,1,0,0,0,0,0,0,0,1,0,2
95,"Acacia calcicola","Forde & Ising",FALSE,0,1,1,0,0,0,0,0,0,0,2
96,"Acacia calyculata","A.Cunn. ex Benth.",FALSE,0,0,0,0,0,0,0,1,0,0,1
97,"Acacia cambagei","R.T.Baker",FALSE,0,1,1,0,1,1,1,0,1,0,6
98,"Acacia cana","Maiden",FALSE,1,1,0,0,0,0,0,0,1,0,3
99,"Acacia celsa","Tindale",FALSE,0,1,0,0,0,0,1,0,0,0,2
100,"Acacia colei","Maslin & L.A.J.Thomson",FALSE,0,1,1,0,1,0,0,0,0,0,3
101,"Acacia colletioides","A.Cunn. ex Benth.",FALSE,0,1,0,0,0,1,1,0,0,0,3
102,"Acacia concurrens","Pedley",FALSE,1,1,0,0,0,1,1,0,0,0,4
103,"Acacia confusa","Merr.",FALSE,1,1,1,0,0,0,1,0,1,0,5
104,"Acacia cowleana","Tate",FALSE,0,1,1,0,1,0,0,0,0,0,3
105,"Acacia crassicarpa","A.Cunn. ex Benth.",FALSE,0,1,1,0,1,0,1,0,0,0,4
106,"Acacia cuthbertsonii","Luehm.",FALSE,0,0,0,0,0,0,0,1,0,0,1
107,"Acacia cyclops","A.Cunn. ex G.Don",FALSE,1,1,1,0,0,0,1,1,0,0,5
108,"Acacia cyperophylla","F.Muell. ex Benth.",FALSE,1,0,1,0,0,0,0,0,0,0,2
109,"Acacia dealbata","Link",FALSE,0,1,1,1,1,1,1,1,0,0,7
110,"Acacia decora","Rchb.",FALSE,0,1,0,0,1,1,0,0,0,0,3
111,"Acacia decurrens","(J.C.Wendl.) Willd.",FALSE,1,1,1,1,1,0,1,1,0,0,7
112,"Acacia dictyophleba","F.Muell.",FALSE,0,0,0,0,1,0,0,0,0,0,1
113,"Acacia difficilis","Maiden",FALSE,0,1,0,0,0,0,1,0,0,0,2
114,"Acacia disparrima","M.W.McDonald & Maslin",FALSE,0,1,0,0,0,0,0,0,0,0,1
115,"Acacia dodonaeifolia","(Pers.) Balb.",FALSE,0,0,0,0,0,0,1,0,0,0,1
116,"Acacia doratoxylon","A.Cunn.",FALSE,0,0,0,0,0,0,1,0,0,0,1
117,"Acacia drummondii","Lindl.",FALSE,0,1,0,0,0,0,0,0,0,0,1
118,"Acacia elata","A.Cunn. ex Benth.",FALSE,0,1,0,0,0,0,1,0,0,0,2
119,"Acacia eriopoda","Maiden & Blakely",FALSE,0,1,0,0,0,0,0,0,0,0,1
120,"Acacia estrophiolata","F.Muell.",FALSE,0,0,0,0,0,0,0,1,0,0,1
121,"Acacia excelsa","Benth.",FALSE,1,1,1,0,0,0,1,0,1,0,5
122,"Acacia falcata","Willd.",FALSE,0,1,0,0,0,0,1,0,1,0,3
123,"Acacia falciformis","DC.",FALSE,0,0,0,0,0,0,0,0,1,0,1
